tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,982,23,TRANSFER,501.95,2017-01-01T00:00:00Z,False,-1
2,1107,104,TRANSFER,248.9,2017-01-01T00:00:00Z,False,-1
3,659,107,TRANSFER,552.61,2017-01-01T00:00:00Z,False,-1
4,620,10,TRANSFER,945.1,2017-01-01T00:00:00Z,False,-1
5,504,103,TRANSFER,604.33,2017-01-01T00:00:00Z,False,-1
6,951,26,TRANSFER,304.32,2017-01-01T00:00:00Z,False,-1
7,1372,1070,TRANSFER,764.24,2017-01-01T00:00:00Z,False,-1
8,1372,20,TRANSFER,186.14,2017-01-01T00:00:00Z,False,-1
9,1314,41,TRANSFER,276.35,2017-01-01T00:00:00Z,False,-1
10,403,755,TRANSFER,263.22,2017-01-01T00:00:00Z,False,-1
11,1439,79,TRANSFER,851.56,2017-01-01T00:00:00Z,False,-1
12,973,71,TRANSFER,653.69,2017-01-01T00:00:00Z,False,-1
13,350,52,TRANSFER,669.05,2017-01-01T00:00:00Z,False,-1
14,616,9,TRANSFER,489.89,2017-01-01T00:00:00Z,False,-1
15,277,452,TRANSFER,272.9,2017-01-01T00:00:00Z,False,-1
16,1324,40,TRANSFER,399.67,2017-01-01T00:00:00Z,False,-1
17,1324,31,TRANSFER,193.19,2017-01-01T00:00:00Z,False,-1
18,1324,40,TRANSFER,975.4,2017-01-01T00:00:00Z,False,-1
19,599,99,TRANSFER,309.05,2017-01-01T00:00:00Z,False,-1
20,41,29,TRANSFER,236.09,2017-01-01T00:00:00Z,False,-1
21,41,29,TRANSFER,496.85,2017-01-01T00:00:00Z,False,-1
22,613,358,TRANSFER,426.93,2017-01-01T00:00:00Z,False,-1
23,424,38,TRANSFER,615.19,2017-01-01T00:00:00Z,True,2
24,503,12,TRANSFER,200.48,2017-01-01T00:00:00Z,False,-1
25,767,112,TRANSFER,115.7,2017-01-01T00:00:00Z,False,-1
26,1426,549,TRANSFER,833.93,2017-01-01T00:00:00Z,False,-1
27,1437,736,TRANSFER,644.87,2017-01-01T00:00:00Z,False,-1
28,1400,159,TRANSFER,648.7,2017-01-01T00:00:00Z,False,-1
29,936,62,TRANSFER,756.28,2017-01-01T00:00:00Z,False,-1
30,936,69,TRANSFER,673.2,2017-01-01T00:00:00Z,False,-1
31,1108,25,TRANSFER,471.71,2017-01-01T00:00:00Z,False,-1
32,1338,43,TRANSFER,514.98,2017-01-01T00:00:00Z,False,-1
33,934,12,TRANSFER,935.48,2017-01-01T00:00:00Z,False,-1
34,392,546,TRANSFER,179.72,2017-01-01T00:00:00Z,False,-1
35,1110,116,TRANSFER,248.11,2017-01-01T00:00:00Z,False,-1
36,1337,47,TRANSFER,686.5,2017-01-01T00:00:00Z,False,-1
37,84,133,TRANSFER,887.8,2017-01-01T00:00:00Z,False,-1
38,954,35,TRANSFER,281.62,2017-01-01T00:00:00Z,False,-1
39,891,365,TRANSFER,977.34,2017-01-01T00:00:00Z,False,-1
40,891,365,TRANSFER,252.98,2017-01-01T00:00:00Z,False,-1
41,22,49,TRANSFER,128.65,2017-01-01T00:00:00Z,False,-1
42,1385,1410,TRANSFER,797.01,2017-01-01T00:00:00Z,False,-1
43,1039,37,TRANSFER,862.68,2017-01-01T00:00:00Z,False,-1
44,114,8,TRANSFER,830.99,2017-01-01T00:00:00Z,False,-1
45,114,8,TRANSFER,976.68,2017-01-01T00:00:00Z,False,-1
46,942,7,TRANSFER,561.45,2017-01-01T00:00:00Z,False,-1
47,1307,68,TRANSFER,800.99,2017-01-01T00:00:00Z,False,-1
48,1311,27,TRANSFER,278.77,2017-01-01T00:00:00Z,False,-1
49,945,21,TRANSFER,764.07,2017-01-01T00:00:00Z,False,-1
50,496,1248,TRANSFER,586.08,2017-01-01T00:00:00Z,False,-1
51,1139,119,TRANSFER,419.9,2017-01-01T00:00:00Z,False,-1
52,943,240,TRANSFER,641.61,2017-01-01T00:00:00Z,False,-1
53,1365,547,TRANSFER,840.17,2017-01-01T00:00:00Z,False,-1
54,1378,31,TRANSFER,851.46,2017-01-01T00:00:00Z,False,-1
55,1369,173,TRANSFER,148.36,2017-01-01T00:00:00Z,False,-1
56,777,76,TRANSFER,129.26,2017-01-01T00:00:00Z,False,-1
57,615,69,TRANSFER,980.2,2017-01-01T00:00:00Z,False,-1
58,1424,745,TRANSFER,728.31,2017-01-01T00:00:00Z,False,-1
59,1099,17,TRANSFER,482.06,2017-01-01T00:00:00Z,False,-1
60,1187,78,TRANSFER,237.33,2017-01-01T00:00:00Z,False,-1
61,603,26,TRANSFER,535.47,2017-01-01T00:00:00Z,False,-1
62,74,292,TRANSFER,501.49,2017-01-01T00:00:00Z,False,-1
63,74,292,TRANSFER,870.66,2017-01-01T00:00:00Z,False,-1
64,1122,20,TRANSFER,943.04,2017-01-01T00:00:00Z,False,-1
65,64,48,TRANSFER,397.72,2017-01-01T00:00:00Z,False,-1
66,113,133,TRANSFER,450.91,2017-01-01T00:00:00Z,False,-1
67,876,27,TRANSFER,706.81,2017-01-01T00:00:00Z,False,-1
68,604,29,TRANSFER,668.04,2017-01-01T00:00:00Z,False,-1
69,23,1329,TRANSFER,682.6,2017-01-01T00:00:00Z,False,-1
70,1389,146,TRANSFER,985.76,2017-01-01T00:00:00Z,False,-1
71,498,10,TRANSFER,265.7,2017-01-01T00:00:00Z,False,-1
